Name,G,Snaps,Snap%,Per Game,RushPerc,TargetP,TouchPerc,FP,FPPerSnap,Year,Pos_FB,Pos_RB,Pos_TE,Pos_WR,Team_ARI,Team_ATL,Team_BAL,Team_BUF,Team_CAR,Team_CHI,Team_CIN,Team_CLE,Team_DAL,Team_DEN,Team_DET,Team_GB,Team_HOU,Team_IND,Team_JAX,Team_KC,Team_LAC,Team_LAR,Team_LV,Team_MIA,Team_MIN,Team_NE,Team_NO,Team_NYG,Team_NYJ,Team_OAK,Team_PHI,Team_PIT,Team_SD,Team_SEA,Team_SF,Team_TB,Team_TEN,Team_WAS
Tarik Cohen,16,0.5704984802350249,0.2698299929702086,0.26703153068251884,0.6507712650210634,1.283699308331358,1.1377630361262523,2.0345498267645854,1.5428606337849682,2018,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dalvin Cook,11,0.55317311781383,1.1187747745972996,1.0133894177233462,1.0798474790911228,0.14026476349739403,1.0894649027643308,1.1372778639019965,0.7807547339711312,2018,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
LeSean McCoy,14,0.5497080453295912,0.5228096115789795,0.48583887596487746,1.4271948904811709,0.05572511669889296,1.3878783696076327,0.8041674195533258,0.4759123740455964,2018,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rashard Higgins,13,0.5323826829083963,0.5861471149202677,0.6119684233707483,-0.5511228920379261,0.30647830635546397,-0.4043273647865332,0.5561064503575074,0.24728060410144534,2018,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Adrian Peterson,16,0.5219874654556794,0.3094622319030612,0.21877326906635938,2.5846189637289774,-0.517425031087555,2.2652944590158772,2.147240381342115,1.6952818137477352,2018,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Luke Stocker,16,0.5046621030344846,0.3509464446178232,0.20177319963339424,-0.5385030033888066,-0.660712568034167,-0.7803628316757807,-0.3422286309444925,-0.5148252957123916,2018,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Evan Engram,11,0.5011970305502456,1.0335839806294846,0.9382600786163711,-0.5132632260905678,0.6374725167021378,-0.23470892024168918,0.5933155957368801,0.3234911940828291,2018,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Daesean Hamilton,14,0.4873367406132897,0.4283589487016198,0.41509665155028036,-0.5511228920379261,0.07578537187141872,-0.4968987870635498,-0.20402323382110796,-0.36240411574962417,2018,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jordan Thomas,16,0.4838716681290507,0.15389643422270438,0.18148279418114538,-0.5511228920379261,-0.47014014389517306,-0.7159653205265518,-0.041011739778141466,-0.20998293578685676,2018,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Curtis Samuel,13,0.4700113781920948,0.5791096145490133,0.5362906949272259,-0.447759994530853,0.7062505344365113,-0.14501238685526316,0.885673166574809,0.6283335540083637,2018,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chris Moore,16,0.4700113781920948,0.01314642679761935,0.16777306076746376,-0.4868215546352701,-0.5245894079348856,-0.6757168760582837,-0.3634909997327055,-0.5148252957123916,2018,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Randall Cobb,9,0.4700113781920948,1.4539820291228305,1.409874908047019,-0.5511228920379261,0.583023252662425,-0.29335665360973695,0.010372318126706626,-0.20998293578685676,2018,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TJ Jones,15,0.45615108825513895,0.24538393904900951,0.2593540799708571,-0.5511228920379261,-0.4859017729593004,-0.7222900760858512,-0.29793202930238205,-0.4386147057310078,2018,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sammy Watkins,10,0.45615108825513895,1.1713708300035155,1.1038736582536453,-0.4862206075567406,0.41251108369595685,-0.2991064313909181,0.4834600236644461,0.24728060410144534,2018,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Maurice Harris,12,0.45615108825513895,0.8143102848514578,0.6816138691122511,-0.5252821676611579,0.16462364477831803,-0.43595114258302964,-0.2908445730396444,-0.4386147057310078,2018,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Alfred Blue,16,0.45268601577089995,0.12352406419939659,0.15022460199795126,1.40435890149705,-0.4529456394615796,1.1613371250290951,0.5224410331095033,0.3234911940828291,2018,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Latavius Murray,16,0.45268601577089995,0.18723196229706654,0.15022460199795126,1.2739533854561493,-0.48446889758983436,1.0244924138369835,1.1000687185226237,0.8569653239525147,2018,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Duke Johnson,16,0.445755870802422,0.11944972187919678,0.14364392995938424,-0.027697986638736103,0.6432040181800021,0.2315980578121024,0.6588745661672035,0.4759123740455964,2018,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AJ Green,9,0.445755870802422,1.4839840043897565,1.3671005397963323,-0.5511228920379261,1.1117542639954234,-0.08118985348415227,0.9848975542531365,0.7807547339711312,2018,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Allen Hurns,16,0.42843050838122715,0.12130169566110569,0.1266438605264189,-0.5511228920379261,-0.15634043798209285,-0.5900451871186846,-0.11188630240551818,-0.2861935257682405,2018,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DeSean Jackson,12,0.4249654358969882,0.4913260572865263,0.6404846688712063,-0.47179787767203274,1.0802310058671685,-0.017942297891159687,1.1071561747853613,0.8569653239525147,2018,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Phillip Lindsay,15,0.4249654358969882,0.2490878866128276,0.22645071977802114,1.9956908267700728,0.1947140275371067,1.987580192184827,2.4803508256907856,2.1525453536360373,2018,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dante Pettis,12,0.4215003634127492,0.7061550159879715,0.6360975541788282,-0.5379020563102771,0.13453326201952967,-0.4606751870421086,0.5082661205840281,0.3234911940828291,2018,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Chris Carson,14,0.4215003634127492,0.355020786938023,0.3410640911163995,2.733052892125763,-0.5317537847822164,2.4015641924298703,2.3669515254869826,2.076334763654654,2018,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
